Domain,L0,Time Used,Time
mail.google.com,Comms,37,2017-02-13T19:03:50.474Z
airbnb.io,Other,1,2017-02-13T19:03:46.857Z
drive.google.com,Work,1,2017-02-13T19:03:45.139Z
drive.google.com,Work,2,2017-02-13T19:03:40.238Z
github.com,Work,4,2017-02-13T19:03:36.484Z
github.com,Work,11,2017-02-13T19:03:24.539Z
github.com,Work,8,2017-02-13T19:03:16.576Z
github.com,Work,2,2017-02-13T19:03:14.567Z
localhost,Other,6,2017-02-13T19:03:08.068Z
localhost,Other,1,2017-02-13T19:03:06.876Z
github.com,Work,2,2017-02-13T19:03:02.012Z
github.com,Work,3,2017-02-13T19:02:59.492Z
github.com,Work,3,2017-02-13T19:02:56.778Z
github.com,Work,1,2017-02-13T19:02:55.479Z
localhost,Other,5,2017-02-13T19:02:50.111Z
localhost,Other,1,2017-02-13T19:02:49.000Z
github.com,Work,8,2017-02-13T19:02:40.625Z
youtube.com,Fun,2,2017-02-13T18:56:05.195Z
airbnb.io,Other,4,2017-02-13T18:56:00.637Z
airbnb.io,Other,5,2017-02-13T18:55:56.056Z
youtube.com,Fun,1,2017-02-13T18:55:54.979Z
airbnb.io,Other,10,2017-02-13T18:52:20.950Z
youtube.com,Fun,1,2017-02-13T18:52:19.846Z
airbnb.io,Other,5,2017-02-13T18:52:15.906Z
youtube.com,Fun,92,2017-02-13T18:36:17.428Z
youtube.com,Fun,7,2017-02-13T18:36:10.623Z
fusion.net,Read,7,2017-02-13T18:36:01.977Z
mail.google.com,Comms,1,2017-02-13T18:36:00.431Z
mail.google.com,Comms,16,2017-02-13T18:35:43.827Z
mail.google.com,Comms,2,2017-02-13T18:35:41.785Z
mail.google.com,Comms,1,2017-02-13T18:35:40.493Z
fusion.net,Read,23,2017-02-13T18:35:39.452Z
app.buyerdeck.com,Work,8,2017-02-13T18:35:31.510Z
app.buyerdeck.com,Work,4,2017-02-13T18:35:27.554Z
fusion.net,Read,18,2017-02-13T18:35:21.604Z
online.americanexpress.com,Work,2,2017-02-13T18:35:20.130Z
facebook.com,Social,597,2017-02-13T18:25:18.154Z
facebook.com,Social,8,2017-02-13T18:24:51.535Z
mail.google.com,Comms,37,2017-02-13T18:24:10.204Z
mail.google.com,Comms,600,2017-02-13T18:06:41.406Z
mail.google.com,Comms,13,2017-02-13T18:06:28.829Z
mail.google.com,Comms,1,2017-02-13T18:06:26.844Z
